,N,spl_v_err,spl_v_acc,spl_2_err,spl_2_acc,spl_2_lambd
0,100,7.758002092588851,0.888,4.893539396078324,0.87,0.028489906428853108
1,100,6.875441845591,0.84,5.017091711773364,0.87,0.038999832910457014
2,100,6.7434322613739885,0.846,4.716166243554721,0.947,0.033333190521758135
3,100,7.852581343286418,0.946,4.891340227322189,0.966,0.033333190521758135
4,100,6.7166847481757905,0.886,4.8835825503269055,0.904,0.033333190521758135
5,200,5.287467090647339,0.866,4.845455839176346,0.894,0.028489906428853108
6,200,4.844594664467256,0.928,4.709312634567412,0.884,0.028489906428853108
7,200,5.321452919468594,0.911,4.9172413607491645,0.917,0.028489906428853108
8,200,5.2844367092978795,0.973,5.499005528480328,0.967,0.038999832910457014
9,200,4.809318945513864,0.936,4.704225273986916,0.926,0.028489906428853108
10,1000,3.479035824689806,0.947,5.04734803513597,0.933,0.028489906428853108
11,1000,2.1320887217767956,0.968,4.303644141785882,0.933,0.028489906428853108
12,1000,2.1174388929420607,0.915,5.240580707796076,0.871,0.038999832910457014
13,1000,3.337508920592654,0.857,4.810949172111928,0.836,0.028489906428853108
14,1000,2.300244028468806,0.942,4.186729482678001,0.9,0.028489906428853108
